City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Yershov,RU,2021-04-20 17:14:50,51.3513,48.2766,47.17,54,100,21.47
240,Hami,CN,2021-04-20 17:14:51,42.8,93.45,66.43,25,15,4.92
241,Mabaruma,GY,2021-04-20 17:14:51,8.2,-59.7833,86.47,51,40,8.05
242,Ossora,RU,2021-04-20 17:14:52,59.2353,163.0719,28.26,96,100,6.17
243,Batagay,RU,2021-04-20 17:14:52,67.6333,134.6333,11.41,96,100,2.55
244,Surt,LY,2021-04-20 17:10:21,31.2089,16.5887,63.21,53,0,16.51
245,Sitka,US,2021-04-20 17:14:53,57.0531,-135.33,42.8,93,75,13.8
246,Half Moon Bay,US,2021-04-20 17:14:53,37.4636,-122.4286,57.99,93,40,19.57
247,Palau,PW,2021-04-20 17:14:54,7.503,134.621,75.2,94,75,5.1
248,Belousovka,KZ,2021-04-20 17:14:54,50.1339,82.5239,24.8,63,40,8.95
249,Santa Isabel,BR,2021-04-20 17:14:54,-23.3156,-46.2214,71.6,77,75,8.05
250,Ambilobe,MG,2021-04-20 17:14:55,-13.2,49.05,77.13,79,99,3.8
251,Namibe,AO,2021-04-20 17:14:55,-15.1961,12.1522,82.15,79,9,12.15
252,Upernavik,GL,2021-04-20 17:11:25,72.7868,-56.1549,14.09,66,98,3.47
253,Richards Bay,ZA,2021-04-20 17:14:56,-28.783,32.0377,67.8,89,40,5.28
254,Bilma,NE,2021-04-20 17:14:56,18.6853,12.9164,99.86,5,0,5.28
255,Shingu,JP,2021-04-20 17:14:56,33.7333,135.9833,54.25,66,73,6.62
256,Ulaangom,MN,2021-04-20 17:14:57,49.9811,92.0667,32.74,82,100,12.28
257,Nogliki,RU,2021-04-20 17:14:57,51.8333,143.1667,28.89,92,66,8.95
258,Shush,IR,2021-04-20 17:14:58,32.1942,48.2436,91.89,14,97,8.12
259,Hobart,AU,2021-04-20 17:14:58,-42.8794,147.3294,39.2,87,9,9.22
260,Kahului,US,2021-04-20 17:14:59,20.8947,-156.47,72.0,100,1,4.61
261,Verkhnevilyuysk,RU,2021-04-20 17:15:00,63.4453,120.3167,-7.76,100,41,0.76
262,Georgetown,MY,2021-04-20 17:11:22,5.4112,100.3354,82.99,83,20,2.3
263,Srednekolymsk,RU,2021-04-20 17:15:00,67.45,153.6833,27.48,77,62,7.4
264,La Trinitaria,MX,2021-04-20 17:15:01,16.1167,-92.05,81.3,40,90,3.38
265,Izberbash,RU,2021-04-20 17:15:01,42.5696,47.8645,53.6,87,99,11.18
266,Touros,BR,2021-04-20 17:15:02,-5.1989,-35.4608,86.0,66,40,16.11
267,Dindori,IN,2021-04-20 17:15:04,22.95,81.0833,83.71,26,71,0.63
268,Krasnoselkup,RU,2021-04-20 17:15:04,65.7,82.4667,-1.46,96,7,6.96
269,Porto Belo,BR,2021-04-20 17:15:05,-27.1578,-48.5531,79.0,83,75,9.22
270,Mahebourg,MU,2021-04-20 17:15:06,-20.4081,57.7,78.8,89,75,6.53
271,Lagoa,PT,2021-04-20 17:15:06,39.05,-27.9833,61.48,87,31,19.53
272,Lata,PT,2021-04-20 17:15:06,40.1629,-8.3327,64.0,72,75,11.5
273,Alice Springs,AU,2021-04-20 17:12:09,-23.7,133.8833,51.8,46,0,4.61
274,Katsuura,JP,2021-04-20 17:15:07,35.1333,140.3,60.8,67,0,6.91
275,Chumikan,RU,2021-04-20 17:15:07,54.7183,135.315,26.92,79,59,15.19
276,Isangel,VU,2021-04-20 17:15:08,-19.55,169.2667,77.5,86,97,11.7
277,Vilkaviskis,LT,2021-04-20 17:15:08,54.6517,23.0322,51.76,67,79,5.46
278,Winnemucca,US,2021-04-20 17:15:09,40.973,-117.7357,55.4,24,1,16.11
279,Kupang,ID,2021-04-20 17:15:09,-10.1667,123.5833,75.43,83,20,4.32
280,Sorong,ID,2021-04-20 17:15:09,-0.8833,131.25,81.59,80,99,8.5
281,Ometepec,MX,2021-04-20 17:15:10,16.6833,-98.4167,92.7,18,95,4.47
282,Cayenne,GF,2021-04-20 17:15:10,4.9333,-52.3333,80.6,83,75,12.66
283,Nanortalik,GL,2021-04-20 17:15:11,60.1432,-45.2371,35.6,78,100,2.42
284,Gamboma,CG,2021-04-20 17:15:11,-1.8764,15.8644,76.44,78,98,1.66
285,Oinacu,RO,2021-04-20 17:15:12,43.95,26.0167,55.0,74,100,6.42
286,Comodoro Rivadavia,AR,2021-04-20 17:14:15,-45.8667,-67.5,57.2,72,0,2.3
287,Athabasca,CA,2021-04-20 17:15:12,54.7169,-113.2854,46.4,31,51,6.91
288,Drumheller,CA,2021-04-20 17:15:05,51.4617,-112.7101,44.6,39,17,2.3
289,San Miguel,SV,2021-04-20 17:15:07,13.4833,-88.1833,87.8,66,40,1.9
290,Talnakh,RU,2021-04-20 17:15:13,69.4865,88.3972,-9.87,89,27,2.28
291,Namatanai,PG,2021-04-20 17:15:13,-3.6667,152.4333,79.9,82,100,5.19
292,Icod De Los Vinos,ES,2021-04-20 17:15:14,28.3724,-16.7119,68.0,60,11,8.75
293,Rock Sound,BS,2021-04-20 17:11:19,24.9,-76.2,79.18,80,57,7.85
294,Billings,US,2021-04-20 17:12:57,45.7833,-108.5007,39.0,44,75,16.11
