City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
160,Naryan-Mar,RU,67.6713,53.087,35.76,96,100,16.06,overcast clouds
161,Westport,US,41.1415,-73.3579,41.0,48,20,11.5,few clouds
162,Manokwari,ID,-0.8667,134.0833,83.43,70,97,5.5,overcast clouds
163,Fairbanks,US,64.8378,-147.7164,53.01,40,1,13.8,clear sky
164,Khatanga,RU,71.9667,102.5,30.06,91,100,15.5,overcast clouds
165,Itoman,JP,26.1247,127.6694,69.8,88,75,25.32,light rain
166,Salimbalan,PH,8.2742,124.7219,84.99,72,69,7.0,broken clouds
167,Minab,IR,27.1467,57.0801,75.2,78,3,2.3,haze
168,Kavaratti,IN,10.5669,72.642,83.62,67,13,4.27,few clouds
169,Sciacca,IT,37.5082,13.0881,55.99,91,100,5.01,overcast clouds
170,Aykhal,RU,66.0,111.5,25.54,86,100,26.42,overcast clouds
171,Gizo,SB,-8.103,156.8419,83.97,70,100,4.94,overcast clouds
172,Nisia Floresta,BR,-6.0911,-35.2086,78.8,89,40,3.44,scattered clouds
173,Redcar,GB,54.6166,-1.06,43.0,47,100,4.0,overcast clouds
174,Nattam,IN,10.2333,78.2333,87.8,62,20,5.75,haze
175,Fort Nelson,CA,58.8053,-122.7002,39.2,26,40,5.75,scattered clouds
176,Voyvozh,RU,62.892,54.9635,38.26,87,100,9.6,overcast clouds
177,Hilo,US,19.7297,-155.09,80.6,57,75,9.22,broken clouds
178,Ojinaga,MX,29.5667,-104.4167,73.4,23,1,3.44,clear sky
179,Asbestos,CA,45.7668,-71.9324,32.0,69,40,6.91,scattered clouds
180,Ust-Koksa,RU,50.2696,85.6108,26.46,62,99,1.34,overcast clouds
181,Comodoro Rivadavia,AR,-45.8667,-67.5,41.0,81,0,5.68,clear sky
182,Mankera,PK,31.3866,71.4407,72.0,50,11,19.71,few clouds
183,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,90,11.5,light rain
184,San Felipe,VE,10.3399,-68.7425,72.72,90,40,6.02,scattered clouds
185,Iquique,CL,-20.2208,-70.1431,68.0,64,90,10.36,overcast clouds
186,Rajpipla,IN,21.8667,73.5,80.6,61,40,3.44,scattered clouds
187,Yumen,CN,40.2833,97.2,50.59,27,100,25.26,overcast clouds
188,Berlevag,NO,70.8578,29.0864,32.0,86,75,9.22,light rain
189,Hay River,CA,60.8156,-115.7999,21.2,53,100,9.22,overcast clouds
190,Waipawa,NZ,-41.4122,175.5153,64.4,72,75,18.41,broken clouds
191,Tiksi,RU,71.6872,128.8694,17.92,84,100,4.29,overcast clouds
192,Saurimo,AO,-9.6608,20.3916,63.32,94,28,3.96,scattered clouds
193,Fort-Shevchenko,KZ,44.5086,50.263,55.0,84,73,14.65,broken clouds
194,Gat,IL,31.61,34.7642,60.01,82,75,5.75,broken clouds
195,Plettenberg Bay,ZA,-34.0527,23.3716,65.16,76,2,4.81,clear sky
196,Catuday,PH,16.2923,119.8062,80.76,69,67,13.8,broken clouds
197,Iqaluit,CA,63.7506,-68.5145,21.2,86,90,4.9,overcast clouds
198,Constitucion,CL,-35.3333,-72.4167,53.6,84,8,8.63,clear sky
199,Upernavik,GL,72.7868,-56.1549,14.88,88,100,4.61,overcast clouds
200,Lima,PE,-12.0432,-77.0282,66.0,88,20,8.05,few clouds
201,Russell,US,32.3502,-85.1999,51.8,76,1,3.83,clear sky
202,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,0,16.11,clear sky
203,Dunedin,NZ,-45.8742,170.5036,61.0,64,100,1.99,light rain
204,Jiangyou,CN,31.7667,104.7167,70.84,66,96,2.68,overcast clouds
205,Nemuro,JP,43.3236,145.575,46.4,61,20,10.36,few clouds
206,Gboko,NG,7.3179,8.9951,79.27,78,100,8.66,overcast clouds
207,Adrar,MR,20.5022,-10.0711,73.81,13,0,11.43,clear sky
208,Hambantota,LK,6.1241,81.1185,80.6,94,40,3.44,scattered clouds
209,Luganville,VU,-15.5333,167.1667,86.22,66,42,8.97,scattered clouds
210,Olinda,BR,-8.0089,-34.8553,78.8,73,40,2.3,scattered clouds
211,Ancud,CL,-41.8697,-73.8203,51.01,100,90,6.91,light rain
212,Isangel,VU,-19.55,169.2667,82.8,73,73,7.05,broken clouds
213,Ampanihy,MG,-24.7,44.75,65.08,88,2,6.58,clear sky
214,Port Lincoln,AU,-34.7333,135.8667,64.83,54,60,10.18,broken clouds
215,Okhotsk,RU,59.3833,143.3,32.41,91,97,10.87,overcast clouds
216,Hofn,IS,64.2539,-15.2082,37.94,77,100,1.99,overcast clouds
217,Kathu,TH,7.9178,98.3332,87.01,79,40,11.5,scattered clouds
218,Biryusinsk,RU,55.9634,97.8235,36.88,55,4,8.84,clear sky
